Reference Area,Time Period,Value
Anguilla,2010,100
Argentina,2009,53.993489
Armenia,2012,100
Aruba,2010,100
Barbados,2009,100
Botswana,2012,100
Brazil,2010,72.048905
British Virgin Islands,2010,100
Brunei Darussalam,2009,100
Cayman Islands,2010,100
"China, Hong Kong Special Administrative Region",2012,100
Cuba,2010,100
Ecuador,2010,86.856618
Egypt,2016,93.729287
Egypt,2010,97.696367
El Salvador,2010,80.558169
Gambia,2014,34.153846
Georgia,2012,100
Grenada,2010,100
Guyana,2010,10.869565
Iran (Islamic Republic of),2012,59.728116
Jordan,2011,96.004098
Kazakhstan,2012,100
Madagascar,2013,0.725389
Malaysia,2011,100
Mexico,2009,89.841839
Mongolia,2012,100
Montserrat,2010,100
Myanmar,2012,7.408899
Nepal,2011,1.102168
Nicaragua,2010,33.14367
Oman,2011,100
Paraguay,2010,24.878313
Philippines,2012,87.498327
Qatar,2011,100
Republic of Korea,2012,100
Saint Kitts and Nevis,2010,100
Saint Lucia,2010,100
Saint Vincent and the Grenadines,2010,100
Singapore,2011,100
Sint Maarten (Dutch part),2010,100
State of Palestine,2012,70.855148
Thailand,2012,99.573654
Trinidad and Tobago,2009,100
Turks and Caicos Islands,2010,100
Uruguay,2009,100
Venezuela (Bolivarian Republic of),2010,26.707317
Zambia,2012,11.465149
