Reference Area,Time Period,Sex,Value
Argentina,2013,Female,87.84584
Argentina,2013,Male,78.853012
Argentina,2013,Total,83.255196
Austria,2011,Female,97.688583
Austria,2011,Male,96.291394
Austria,2011,Total,96.967668
Azerbaijan,2011,Female,84.085945
Azerbaijan,2011,Male,79.873734
Azerbaijan,2011,Total,81.859568
Benin,2014,Female,51.099998
Benin,2014,Male,52.399998
Benin,2014,Total,51.700001
Botswana,2011,Female,62.525734
Botswana,2011,Male,48.480754
Botswana,2011,Total,55.70191
Botswana,2010,Female,84.422256
Botswana,2010,Male,94.111321
Botswana,2010,Total,89.301361
Brazil,2013,Female,91.889061
Brazil,2013,Male,86.006454
Brazil,2013,Total,89.004639
Bulgaria,2011,Female,94.241787
Bulgaria,2011,Male,91.886551
Bulgaria,2011,Total,93.048439
Burkina Faso,2014,Female,55.900002
Burkina Faso,2014,Male,58
Burkina Faso,2014,Total,56.900002
Burundi,2014,Female,62.699997
Burundi,2014,Male,51.400002
Burundi,2014,Total,56.5
Cote d'Ivoire,2014,Female,49.200001
Cote d'Ivoire,2014,Male,46.900002
Cote d'Ivoire,2014,Total,47.900002
Cameroon,2014,Female,52.999996
Cameroon,2014,Male,45.200001
Cameroon,2014,Total,48.799999
Chad,2014,Female,13.3
Chad,2014,Male,17
Chad,2014,Total,15.700001
Chile,2013,Female,96.62796
Chile,2013,Male,93.703461
Chile,2013,Total,95.153465
Colombia,2013,Female,91.351601
Colombia,2013,Male,89.398842
Colombia,2013,Total,90.304718
Colombia,2011,Female,71.966971
Colombia,2011,Male,72.67856
Colombia,2011,Total,72.32853
Congo,2014,Female,42.899998
Congo,2014,Male,38.5
Congo,2014,Total,40.700001
Costa Rica,2013,Female,96.493607
Costa Rica,2013,Male,94.552582
Costa Rica,2013,Total,95.501244
Croatia,2011,Female,99.432674
Croatia,2011,Male,98.574465
Croatia,2011,Total,98.999433
Czechia,2011,Female,98.5664
Czechia,2011,Male,97.949103
Czechia,2011,Total,98.25079
Dominican Republic,2013,Female,66.276588
Dominican Republic,2013,Male,58.103878
Dominican Republic,2013,Total,62.188606
Ecuador,2013,Female,79.208466
Ecuador,2013,Male,79.254951
Ecuador,2013,Total,79.232918
France,2011,Female,95.178219
France,2011,Male,95.357906
France,2011,Total,95.269116
Germany,2011,Female,98.042099
Germany,2011,Male,96.740585
Germany,2011,Total,97.372874
Guatemala,2013,Female,79.491982
Guatemala,2013,Male,79.528542
Guatemala,2013,Total,79.510391
Honduras,2013,Female,75.967583
Honduras,2013,Male,73.725105
Honduras,2013,Total,74.828583
Honduras,2011,Female,77.038764
Honduras,2011,Male,71.286609
Honduras,2011,Total,74.259696
Hungary,2011,Female,95.784736
Hungary,2011,Male,93.532125
Hungary,2011,Total,94.641002
Italy,2011,Female,98.030749
Italy,2011,Male,97.298668
Italy,2011,Total,97.664773
Kenya,2010,Female,91.210609
Kenya,2010,Male,92.945084
Kenya,2010,Total,92.072067
Kuwait,2011,Female,68.034631
Kuwait,2011,Male,47.089152
Kuwait,2011,Total,58.371155
Lesotho,2010,Female,75.629082
Lesotho,2010,Male,80.648956
Lesotho,2010,Total,78.399345
Lithuania,2011,Female,97.455559
Lithuania,2011,Male,95.68099
Lithuania,2011,Total,96.533292
Malawi,2010,Female,67.495773
Malawi,2010,Male,59.781509
Malawi,2010,Total,63.726646
Mexico,2013,Female,90.633484
Mexico,2013,Male,90.189354
Mexico,2013,Total,90.406563
Mozambique,2010,Female,79.091545
Mozambique,2010,Male,76.675705
Mozambique,2010,Total,77.999664
Namibia,2010,Female,83.154457
Namibia,2010,Male,88.832756
Namibia,2010,Total,86.105988
Nicaragua,2013,Female,75.29644
Nicaragua,2013,Male,73.332169
Nicaragua,2013,Total,74.385406
Niger,2014,Female,7.7
Niger,2014,Male,9.099999
Niger,2014,Total,8.5
Panama,2013,Female,77.086189
Panama,2013,Male,71.064583
Panama,2013,Total,74.185432
Paraguay,2013,Female,69.231247
Paraguay,2013,Male,63.170536
Paraguay,2013,Total,66.158333
Peru,2013,Female,79.593475
Peru,2013,Male,83.560631
Peru,2013,Total,81.60434
Romania,2011,Female,88.113292
Romania,2011,Male,83.995838
Romania,2011,Total,85.990021
Russian Federation,2011,Female,99.464302
Russian Federation,2011,Male,98.652415
Russian Federation,2011,Total,99.049355
Senegal,2014,Female,60.399998
Senegal,2014,Male,61.900002
Senegal,2014,Total,61.099998
Seychelles,2010,Female,81.87233
Seychelles,2010,Male,94.905457
Seychelles,2010,Total,88.253189
Slovakia,2011,Female,96.195913
Slovakia,2011,Male,95.382827
Slovakia,2011,Total,95.781206
South Africa,2010,Female,68.037041
South Africa,2010,Male,75.6614
South Africa,2010,Total,71.906609
Swaziland,2010,Female,98.174698
Swaziland,2010,Male,99.215179
Swaziland,2010,Total,98.694733
Togo,2014,Female,40.5
Togo,2014,Male,36.599998
Togo,2014,Total,38.400002
Uganda,2010,Female,79.965225
Uganda,2010,Male,77.639023
Uganda,2010,Total,78.797394
United Arab Emirates,2011,Female,70.497805
United Arab Emirates,2011,Male,57.940881
United Arab Emirates,2011,Total,64.111734
United Republic of Tanzania,2010,Female,96.711067
United Republic of Tanzania,2010,Male,96.124886
United Republic of Tanzania,2010,Total,96.412262
Uruguay,2013,Female,89.67202
Uruguay,2013,Male,87.721931
Uruguay,2013,Total,88.708389
Zambia,2010,Female,58.928131
Zambia,2010,Male,53.210861
Zambia,2010,Total,56.152813
Zimbabwe,2010,Female,76.320663
Zimbabwe,2010,Male,84.034439
Zimbabwe,2010,Total,80.722717
