Reference Area,Time Period,Value
Anguilla,2010,100
Argentina,2009,77.045483
Armenia,2012,100
Aruba,2010,100
Barbados,2009,100
Botswana,2012,100
Brazil,2010,90.436653
British Virgin Islands,2010,100
Brunei Darussalam,2009,100
Cayman Islands,2010,100
"China, Hong Kong Special Administrative Region",2012,100
Comoros,2013,21
Cuba,2010,100
Ecuador,2010,94.265986
Egypt,2016,87.31662
Egypt,2010,91.126928
El Salvador,2010,96.945701
Gambia,2014,59.701493
Georgia,2012,100
Grenada,2010,100
Iran (Islamic Republic of),2012,90.45359
Jamaica,2010,99.390244
Jordan,2011,97.506925
Kazakhstan,2012,100
Madagascar,2013,17.880795
Malaysia,2011,100
Mongolia,2012,100
Montserrat,2010,100
Myanmar,2012,47.724426
Nepal,2011,8.478076
Oman,2011,100
Paraguay,2010,34.385624
Qatar,2011,100
Republic of Korea,2012,100
Saint Kitts and Nevis,2010,100
Saint Lucia,2010,100
Saint Vincent and the Grenadines,2010,100
Singapore,2011,100
Sint Maarten (Dutch part),2010,100
State of Palestine,2012,87.142857
Thailand,2012,89.302534
Trinidad and Tobago,2009,100
Turks and Caicos Islands,2010,100
Uruguay,2009,100
Venezuela (Bolivarian Republic of),2010,27.470721
Zambia,2012,66.190476
