Reference Area,Time Period,Sex,Value
Albania,2015,Female,48.805954
Albania,2015,Male,44.61966
Albania,2015,Total,46.717026
Albania,2012,Female,39.702165
Albania,2012,Male,38.99163
Albania,2012,Total,39.335026
Algeria,2015,Female,20.7498
Algeria,2015,Male,17.511525
Algeria,2015,Total,19.043236
Argentina,2012,Female,30.275224
Argentina,2012,Male,36.946374
Argentina,2012,Total,33.515069
Armenia,2011,Female,79.114336
Armenia,2011,Male,73.76702
Armenia,2011,Total,76.383302
Australia,2015,Female,78.123102
Australia,2015,Male,77.929483
Australia,2015,Total,78.025528
Australia,2012,Female,78.853817
Australia,2012,Male,81.726523
Australia,2012,Total,80.332854
Bahrain,2015,Female,79.855526
Bahrain,2015,Male,69.62937
Bahrain,2015,Total,74.528091
Bahrain,2011,Female,63.659325
Bahrain,2011,Male,43.441552
Bahrain,2011,Total,53.49294
Botswana,2015,Male,42.369128
Botswana,2015,Total,47.387464
Botswana,2011,Female,53.546223
Botswana,2011,Male,45.781886
Botswana,2011,Total,49.777644
Bulgaria,2015,Female,59.388046
Bulgaria,2015,Male,56.618537
Bulgaria,2015,Total,57.92654
Bulgaria,2012,Female,57.730988
Bulgaria,2012,Male,54.857809
Bulgaria,2012,Total,56.243423
Canada,2015,Female,85.301523
Canada,2015,Male,85.97401
Canada,2015,Total,85.637282
Canada,2012,Female,85.744459
Canada,2012,Male,86.599217
Canada,2012,Total,86.171054
Chile,2015,Female,59.151119
Chile,2015,Male,66.90421
Chile,2015,Total,63.117266
Chile,2011,Female,52.788433
Chile,2011,Male,61.458179
Chile,2011,Total,56.862011
"China, Hong Kong Special Administrative Region",2015,Female,91.800834
"China, Hong Kong Special Administrative Region",2015,Male,90.245925
"China, Hong Kong Special Administrative Region",2015,Total,91.013891
"China, Hong Kong Special Administrative Region",2012,Female,91.518743
"China, Hong Kong Special Administrative Region",2012,Male,91.452249
"China, Hong Kong Special Administrative Region",2012,Total,91.483021
"China, Hong Kong Special Administrative Region",2011,Female,97.517646
"China, Hong Kong Special Administrative Region",2011,Male,96.710841
"China, Hong Kong Special Administrative Region",2011,Total,97.107078
"China, Macao Special Administrative Region",2015,Female,94.748861
"China, Macao Special Administrative Region",2015,Male,91.969394
"China, Macao Special Administrative Region",2015,Total,93.353879
"China, Macao Special Administrative Region",2012,Female,90.045057
"China, Macao Special Administrative Region",2012,Male,88.4329
"China, Macao Special Administrative Region",2012,Total,89.21858
Colombia,2015,Female,30.750172
Colombia,2015,Male,37.016494
Colombia,2015,Total,33.713266
Colombia,2012,Female,20.420096
Colombia,2012,Male,32.655542
Colombia,2012,Total,26.182984
Costa Rica,2015,Female,32.480423
Costa Rica,2015,Male,42.688998
Costa Rica,2015,Total,37.503197
Costa Rica,2012,Female,33.403265
Costa Rica,2012,Male,47.736119
Costa Rica,2012,Total,40.126797
Croatia,2015,Female,66.069129
Croatia,2015,Male,70.002172
Croatia,2015,Total,67.96101
Croatia,2012,Female,69.034573
Croatia,2012,Male,71.184252
Croatia,2012,Total,70.130553
Cyprus,2015,Female,59.134306
Cyprus,2015,Male,55.664703
Cyprus,2015,Total,57.405445
Czechia,2015,Female,78.721891
Czechia,2015,Male,77.917608
Czechia,2015,Total,78.308969
Czechia,2012,Female,77.266238
Czechia,2012,Male,80.719095
Czechia,2012,Total,79.036891
Denmark,2015,Female,85.750946
Denmark,2015,Male,87.0988
Denmark,2015,Total,86.428037
Denmark,2012,Female,81.415595
Denmark,2012,Male,84.885305
Denmark,2012,Total,83.159363
Egypt,2015,Female,48.941607
Egypt,2015,Male,45.230433
Egypt,2015,Total,47.182383
Estonia,2015,Female,89.649213
Estonia,2015,Male,87.949776
Estonia,2015,Total,88.782345
Estonia,2012,Female,89.553246
Estonia,2012,Male,89.355807
Estonia,2012,Total,89.455517
Finland,2015,Female,88.762136
Finland,2015,Male,84.267922
Finland,2015,Total,86.436019
Finland,2012,Female,89.613714
Finland,2012,Male,85.949763
Finland,2012,Total,87.732117
Finland,2011,Female,96.488028
Finland,2011,Male,95.329652
Finland,2011,Total,95.89372
France,2015,Female,76.87688
France,2015,Male,76.161862
France,2015,Total,76.522058
France,2012,Female,77.637156
France,2012,Male,77.654627
France,2012,Total,77.645647
Georgia,2015,Female,46.029181
Georgia,2015,Male,40.091738
Georgia,2015,Total,42.903951
Georgia,2011,Female,62.301795
Georgia,2011,Male,61.760396
Georgia,2011,Total,62.017795
Germany,2015,Female,80.67615
Germany,2015,Male,84.867653
Germany,2015,Total,82.809028
Germany,2012,Female,81.285275
Germany,2012,Male,83.204077
Germany,2012,Total,82.261328
Ghana,2011,Female,17.535089
Ghana,2011,Male,25.265742
Ghana,2011,Total,21.587575
Greece,2015,Female,65.43095
Greece,2015,Male,63.148759
Greece,2015,Total,64.24347
Greece,2012,Female,63.1212
Greece,2012,Male,65.523143
Greece,2012,Total,64.310794
Honduras,2011,Female,17.356623
Honduras,2011,Male,25.964073
Honduras,2011,Total,21.205839
Hungary,2015,Female,71.31728
Hungary,2015,Male,72.765227
Hungary,2015,Total,72.042734
Hungary,2012,Female,71.501764
Hungary,2012,Male,72.407105
Hungary,2012,Total,71.938309
Hungary,2011,Female,87.127455
Hungary,2011,Male,88.058077
Hungary,2011,Total,87.603211
Iceland,2015,Female,77.171024
Iceland,2015,Male,75.550919
Iceland,2015,Total,76.38493
Iceland,2012,Female,80.309373
Iceland,2012,Male,76.781026
Iceland,2012,Total,78.523807
Indonesia,2015,Female,32.296996
Indonesia,2015,Male,30.407042
Indonesia,2015,Total,31.350221
Indonesia,2012,Female,23.136183
Indonesia,2012,Male,25.44135
Indonesia,2012,Total,24.306058
Indonesia,2011,Female,46.46496
Indonesia,2011,Male,40.342294
Indonesia,2011,Total,43.371173
Iran (Islamic Republic of),2015,Female,64.895655
Iran (Islamic Republic of),2015,Male,61.854788
Iran (Islamic Republic of),2015,Total,63.312477
Israel,2015,Female,67.977195
Israel,2015,Male,67.764185
Israel,2015,Total,67.872804
Israel,2012,Female,66.619955
Israel,2012,Male,66.371772
Israel,2012,Total,66.497825
Israel,2011,Female,89.22198
Israel,2011,Male,84.02792
Israel,2011,Total,86.642751
Italy,2015,Female,88.522345
Italy,2015,Male,89.778198
Italy,2015,Total,89.186057
Italy,2011,Female,89.001466
Italy,2011,Male,91.171944
Italy,2011,Total,90.11669
Japan,2015,Female,88.436344
Japan,2015,Male,90.164726
Japan,2015,Total,89.307845
Japan,2012,Female,88.800288
Japan,2012,Male,89.06168
Japan,2012,Total,88.937698
Japan,2011,Female,97.493041
Japan,2011,Male,96.494395
Japan,2011,Total,96.984375
Jordan,2015,Female,34.051227
Jordan,2015,Male,30.85933
Jordan,2015,Total,32.470766
Jordan,2012,Female,35.242772
Jordan,2012,Male,27.539914
Jordan,2012,Total,31.437814
Kazakhstan,2015,Female,91.936753
Kazakhstan,2015,Male,89.736215
Kazakhstan,2015,Total,90.82468
Kazakhstan,2012,Female,55.02731
Kazakhstan,2012,Male,54.483468
Kazakhstan,2012,Total,54.756413
Kazakhstan,2011,Female,85.942269
Kazakhstan,2011,Male,84.884365
Kazakhstan,2011,Total,85.405157
Kuwait,2015,Female,46.445801
Kuwait,2015,Male,43.50056
Kuwait,2015,Total,44.86455
Latvia,2015,Female,80.138879
Latvia,2015,Male,77.000043
Latvia,2015,Total,78.56707
Latvia,2012,Female,81.677017
Latvia,2012,Male,78.466155
Latvia,2012,Total,80.057163
Lebanon,2015,Female,35.628918
Lebanon,2015,Male,44.506109
Lebanon,2015,Total,39.756356
Lebanon,2011,Female,71.764336
Lebanon,2011,Male,75.410977
Lebanon,2011,Total,73.402448
Liechtenstein,2012,Female,82.655712
Liechtenstein,2012,Male,88.797222
Liechtenstein,2012,Total,85.922071
Lithuania,2015,Female,75.878767
Lithuania,2015,Male,73.341203
Lithuania,2015,Total,74.590967
Lithuania,2012,Female,75.65841
Lithuania,2012,Male,72.330431
Lithuania,2012,Total,73.981694
Luxembourg,2015,Female,73.273969
Luxembourg,2015,Male,75.099646
Luxembourg,2015,Total,74.180546
Luxembourg,2012,Female,71.285891
Luxembourg,2012,Male,79.920273
Luxembourg,2012,Total,75.668623
Malaysia,2015,Female,78.12665
Malaysia,2015,Male,73.448905
Malaysia,2015,Total,75.77875
Malaysia,2012,Female,50.426724
Malaysia,2012,Male,45.915877
Malaysia,2012,Total,48.24566
Malaysia,2011,Female,71.024055
Malaysia,2011,Male,59.660923
Malaysia,2011,Total,65.416435
Malta,2015,Female,85.86247
Malta,2015,Male,83.266174
Malta,2015,Total,84.411708
Mexico,2015,Female,41.027209
Mexico,2015,Male,45.625838
Mexico,2015,Total,43.358624
Mexico,2012,Female,41.474149
Mexico,2012,Male,49.254262
Mexico,2012,Total,45.287801
Montenegro,2015,Female,47.877911
Montenegro,2015,Male,48.323356
Montenegro,2015,Total,48.10564
Montenegro,2012,Female,43.519061
Montenegro,2012,Male,43.187787
Montenegro,2012,Total,43.353339
Morocco,2015,Female,40.918093
Morocco,2015,Male,40.740951
Morocco,2015,Total,40.726685
Morocco,2011,Female,35.681724
Morocco,2011,Male,35.715967
Morocco,2011,Total,35.698019
Netherlands,2015,Female,83.755815
Netherlands,2015,Male,82.777009
Netherlands,2015,Total,83.268031
Netherlands,2012,Female,84.219363
Netherlands,2012,Male,86.148441
Netherlands,2012,Total,85.206453
New Zealand,2015,Female,78.423046
New Zealand,2015,Male,78.312055
New Zealand,2015,Total,78.3672
New Zealand,2012,Female,76.440278
New Zealand,2012,Male,78.232134
New Zealand,2012,Total,77.355915
Norway,2015,Female,84.684185
Norway,2015,Male,81.20733
Norway,2015,Total,82.923475
Norway,2012,Female,77.982382
Norway,2012,Male,77.413993
Norway,2012,Total,77.690963
Oman,2015,Female,59.011365
Oman,2015,Male,45.656586
Oman,2015,Total,52.04491
Oman,2011,Female,49.094567
Oman,2011,Male,28.236084
Oman,2011,Total,38.885232
Peru,2015,Female,31.583609
Peru,2015,Male,36.073849
Peru,2015,Total,33.839487
Peru,2012,Female,22.495443
Peru,2012,Male,28.511626
Peru,2012,Total,25.418603
Poland,2015,Female,81.548721
Poland,2015,Male,84.019234
Poland,2015,Total,82.806019
Poland,2012,Female,86.193843
Poland,2012,Male,85.005164
Poland,2012,Total,85.613395
Portugal,2015,Female,75.840142
Portugal,2015,Male,76.623059
Portugal,2015,Total,76.23528
Portugal,2012,Female,74.120416
Portugal,2012,Male,76.045944
Portugal,2012,Total,75.093921
Qatar,2015,Female,43.381365
Qatar,2015,Male,39.389426
Qatar,2015,Total,41.337966
Qatar,2012,Female,31.766298
Qatar,2012,Male,29.205656
Qatar,2012,Total,30.444989
Qatar,2011,Female,56.255102
Qatar,2011,Male,51.267
Qatar,2011,Total,53.73714
Republic of Korea,2015,Female,87.04182
Republic of Korea,2015,Male,82.245915
Republic of Korea,2015,Total,84.537114
Republic of Korea,2012,Female,90.91781
Republic of Korea,2012,Male,90.822498
Republic of Korea,2012,Total,90.866893
Republic of Korea,2011,Female,98.927057
Republic of Korea,2011,Male,98.222005
Republic of Korea,2011,Total,98.594135
Republic of Moldova,2015,Female,50.344877
Republic of Moldova,2015,Male,49.137373
Republic of Moldova,2015,Total,49.738571
Romania,2015,Female,59.959775
Romania,2015,Male,60.148257
Romania,2015,Total,60.05357
Romania,2012,Female,58.804482
Romania,2012,Male,59.562507
Romania,2012,Total,59.175701
Romania,2011,Female,72.217463
Romania,2011,Male,69.554296
Romania,2011,Total,70.834508
Russian Federation,2015,Female,80.561024
Russian Federation,2015,Male,81.592033
Russian Federation,2015,Total,81.06867
Russian Federation,2012,Female,76.730814
Russian Federation,2012,Male,75.364416
Russian Federation,2012,Total,76.047756
Russian Federation,2011,Female,95.501066
Russian Federation,2011,Male,94.255908
Russian Federation,2011,Total,94.863857
Saudi Arabia,2015,Female,36.816055
Saudi Arabia,2015,Male,31.157555
Saudi Arabia,2015,Total,34.050473
Saudi Arabia,2011,Female,50.16676
Saudi Arabia,2011,Male,43.673098
Saudi Arabia,2011,Total,46.815907
Serbia,2012,Female,59.5624
Serbia,2012,Male,62.631995
Serbia,2012,Total,61.0901
Singapore,2015,Female,99.26945
Singapore,2015,Male,98.622111
Singapore,2015,Total,98.927861
Singapore,2011,Female,99.523675
Singapore,2011,Male,98.297542
Singapore,2011,Total,98.901555
Slovakia,2015,Female,72.11909
Slovakia,2015,Male,72.443923
Slovakia,2015,Total,72.286445
Slovakia,2012,Female,72.717866
Slovakia,2012,Male,72.370781
Slovakia,2012,Total,72.536139
