Reference Area,Time Period,Sex,Value
Albania,2015,Female,62.306833
Albania,2015,Male,37.087789
Albania,2015,Total,49.72273
Albania,2012,Female,50.722346
Albania,2012,Male,44.804519
Albania,2012,Total,47.664562
Algeria,2015,Female,27.676341
Algeria,2015,Male,15.065832
Algeria,2015,Total,21.030629
Argentina,2012,Female,54.114131
Argentina,2012,Male,38.302548
Argentina,2012,Total,46.435234
Australia,2015,Female,86.707572
Australia,2015,Male,77.232318
Australia,2015,Total,81.932528
Australia,2012,Female,90.927336
Australia,2012,Male,80.983248
Australia,2012,Total,85.807536
Bulgaria,2015,Female,67.652461
Bulgaria,2015,Male,50.36671
Bulgaria,2015,Total,58.530544
Bulgaria,2012,Female,72.992998
Bulgaria,2012,Male,49.074079
Bulgaria,2012,Total,60.609169
Canada,2015,Female,92.484517
Canada,2015,Male,86.143208
Canada,2015,Total,89.318428
Canada,2012,Female,93.385166
Canada,2012,Male,84.809523
Canada,2012,Total,89.105212
"China, Hong Kong Special Administrative Region",2015,Female,94.058255
"China, Hong Kong Special Administrative Region",2015,Male,87.429444
"China, Hong Kong Special Administrative Region",2015,Total,90.703397
"China, Hong Kong Special Administrative Region",2012,Female,95.94529
"China, Hong Kong Special Administrative Region",2012,Male,90.85375
"China, Hong Kong Special Administrative Region",2012,Total,93.210011
"China, Macao Special Administrative Region",2015,Female,93.157968
"China, Macao Special Administrative Region",2015,Male,83.541577
"China, Macao Special Administrative Region",2015,Total,88.331615
"China, Macao Special Administrative Region",2012,Female,93.858774
"China, Macao Special Administrative Region",2012,Male,83.490358
"China, Macao Special Administrative Region",2012,Total,88.543374
Colombia,2015,Female,60.274582
Colombia,2015,Male,53.688892
Colombia,2015,Total,57.160472
Colombia,2012,Female,53.309259
Colombia,2012,Male,43.213383
Colombia,2012,Total,48.554108
Costa Rica,2015,Female,63.314375
Costa Rica,2015,Male,55.955253
Costa Rica,2015,Total,59.693575
Costa Rica,2012,Female,74.093874
Costa Rica,2012,Male,60.287502
Costa Rica,2012,Total,67.617315
Croatia,2015,Female,84.851154
Croatia,2015,Male,75.044884
Croatia,2015,Total,80.13412
Croatia,2012,Female,90.548374
Croatia,2012,Male,72.413612
Croatia,2012,Total,81.302647
Cyprus,2015,Female,75.352671
Cyprus,2015,Male,53.314806
Cyprus,2015,Total,64.371471
