Reference Area,Time Period,Value
Anguilla,2010,100
Argentina,2009,37.783387
Armenia,2012,100
Aruba,2010,100
Barbados,2009,100
Botswana,2012,77.556441
Brazil,2010,40.485995
British Virgin Islands,2010,100
Brunei Darussalam,2009,100
Cayman Islands,2010,76.923077
"China, Hong Kong Special Administrative Region",2012,100
Cuba,2010,100
Dominica,2010,70.967742
Ecuador,2010,51.987975
Egypt,2016,74.391402
Egypt,2010,86.348888
El Salvador,2010,59.039028
Gambia,2014,10.917538
Georgia,2012,100
Guyana,2010,6.507592
Iran (Islamic Republic of),2012,45.538798
Jordan,2011,88.180251
Kazakhstan,2012,100
Madagascar,2013,0
Malaysia,2011,100
Mauritius,2014,100
Mexico,2009,63.762827
Mongolia,2012,100
Montserrat,2010,50
Myanmar,2012,0.56269
Nepal,2011,0.327617
Nicaragua,2010,6.208646
Oman,2011,100
Paraguay,2010,14.601151
Philippines,2012,41.458474
Qatar,2011,100
Republic of Korea,2012,100
Rwanda,2012,39
Saint Kitts and Nevis,2010,100
Saint Lucia,2010,49.382716
Singapore,2011,100
Sint Maarten (Dutch part),2010,100
State of Palestine,2012,54.7602
Thailand,2012,98.801791
Trinidad and Tobago,2009,71.008403
Turks and Caicos Islands,2010,100
Uruguay,2009,100
Venezuela (Bolivarian Republic of),2010,68.257081
Zambia,2012,4.859768
