Country or Area,Year,Value
Afghanistan,2011,0.518967456
Albania,2011,1.001264879
Albania,2008,1.005928695
Albania,2001,1.001304501
Algeria,2006,0.944446301
Algeria,2002,0.915758483
Angola,2012,0.83211
Angola,2001,0.754170807
Argentina,2012,1.0037
Argentina,2001,1.004252696
Argentina,1991,1.004840829
Armenia,2001,1.001095957
Aruba,2010,1.003611018
Aruba,2000,1.002878298
Azerbaijan,2012,0.999626491
Azerbaijan,2011,0.999757238
Azerbaijan,2010,0.999658672
Azerbaijan,2009,0.999889982
Azerbaijan,2007,1
Azerbaijan,1999,1.000311965
Bahrain,2010,0.98947908
Bahrain,2001,1.004374101
Bahrain,1991,0.993009414
Bangladesh,2012,1.05006
Bangladesh,2001,0.89715323
Bangladesh,1991,0.734289585
Belarus,2009,1.000471624
Belarus,1999,1.000715091
Belize,1991,1.007431269
Benin,2006,0.561112997
Benin,2002,0.56140456
Benin,1992,0.484131785
Bhutan,2005,0.849108278
Bolivia,2012,0.99663345
Bolivia,2011,0.995217875
Bolivia,2009,0.993887871
Bolivia,2008,0.994860486
Bolivia,2007,0.993894652
Bolivia,2001,0.975294882
Bolivia,1992,0.95065922
Bosnia and Herzegovina,2012,1.00008
Bosnia and Herzegovina,2000,1.000956673
Botswana,2012,1.03918
Botswana,2003,1.038147132
Botswana,1991,1.073944161
Brazil,2012,1.008078127
Brazil,2011,1.011879793
Brazil,2010,1.016569838
Brazil,2009,1.012789907
Brazil,2008,1.013898324
Brazil,2007,1.015481161
Brazil,2006,1.016164283
Brazil,2004,1.022132782
Brazil,2000,1.033080069
Brunei Darussalam,2012,0.99938
Brunei Darussalam,2001,1.000382998
Brunei Darussalam,1991,0.999764419
Bulgaria,2011,0.995759358
Bulgaria,2001,0.997966621
Burkina Faso,2007,0.708809601
Burkina Faso,2006,0.666320454
Burkina Faso,2005,0.655845107
Burkina Faso,2003,0.646447853
Burkina Faso,1996,0.54891274
Burkina Faso,1991,0.529092194
Burundi,2008,0.983488614
Burundi,2000,0.916453208
Burundi,1990,0.80694124
Cambodia,2009,0.97184751
Cambodia,2008,0.956937163
Cambodia,2004,0.897360138
Cambodia,1998,0.868354534
Cameroon,2010,0.894885147
Cameroon,2007,0.866521757
Cameroon,2000,0.881704715
Cape Verde,2012,1.005377318
Cape Verde,2004,1.01874
Cape Verde,1990,0.960712386
Cayman Islands,2007,0.994765246
Central African Republic,2010,0.552045148
Central African Republic,2000,0.67524644
Chad,2012,0.81786
Chad,2004,0.573001697
Chad,2000,0.417256058
Chad,1993,0.34084274
Chile,2009,1.00030988
Chile,2008,1.000820192
Chile,2002,1.003842975
Chile,1992,1.005546385
China,2010,0.999031188
China,2000,0.993007988
China,1990,0.943056246
"China, Macao Special Administrative Region",2006,1.001131289
"China, Macao Special Administrative Region",2001,1.003822517
Colombia,2011,1.009859707
Colombia,2010,1.008542736
Colombia,2009,1.010196826
Colombia,2008,1.009023451
Colombia,2007,1.009602918
Colombia,2006,1.006779665
Colombia,2005,1.008796846
Colombia,2004,1.008796811
Colombia,1996,1.012259374
Colombia,1993,1.027624773
Comoros,2012,1.00237
Comoros,2000,0.923840277
Congo,2011,0.898025678
Costa Rica,2011,1.00252942
Costa Rica,2000,1.008651616
Cote d'Ivoire,2012,0.664295139
Cote d'Ivoire,2000,0.735808018
Cote d'Ivoire,1998,0.732477986
Croatia,2011,1.000237411
Croatia,2001,1.000089811
Croatia,1991,0.999380139
Cuba,2012,0.99996
Cuba,2002,0.999962837
Cyprus,2011,1.000338354
Cyprus,2001,1.000791429
Cyprus,1992,1.000846438
Democratic Republic of the Congo,2007,0.674596355
Democratic Republic of the Congo,2001,0.809051081
Dominican Republic,2013,1.015396651
Dominican Republic,2012,1.015026246
Dominican Republic,2011,1.02041754
Dominican Republic,2010,1.022011844
Dominican Republic,2007,1.02434311
Dominican Republic,2002,1.026004779
Ecuador,2013,1.000538326
Ecuador,2012,1.001228164
Ecuador,2011,1.002219521
Ecuador,2010,1.003912199
Ecuador,2009,1.000273771
Ecuador,2007,1.004312466
Ecuador,2001,1.001183436
Ecuador,1990,0.992311535
Egypt,2012,0.931740355
Egypt,2010,0.930975387
Egypt,2006,0.930507994
Egypt,2005,0.876451675
Egypt,1996,0.847332558
El Salvador,2011,1.008271723
El Salvador,2010,1.007491415
El Salvador,2009,1.006499071
El Salvador,2008,1.011302335
El Salvador,2007,1.007190187
El Salvador,2006,1.011191822
El Salvador,2004,1.00228
El Salvador,1992,1.000031054
Equatorial Guinea,2012,1.00818
Equatorial Guinea,2000,0.989922279
Eritrea,2012,0.95166
Eritrea,2002,0.805574516
Estonia,2011,1.000198135
Estonia,2000,1.000844879
Ethiopia,2007,0.747029291
Ethiopia,2005,0.59586492
Ethiopia,2004,0.618971061
Ethiopia,1994,0.714714037
Gabon,2012,1.023339842
Gabon,2004,0.998603539
Gabon,1993,0.975706056
Gambia,2012,0.89292
Gambia,2000,0.643363689
Georgia,2012,1.00104
Georgia,2002,1.000740356
Ghana,2010,0.942518696
Ghana,2000,0.862307391
Greece,2012,0.99854
Greece,2001,1.000977784
Greece,1991,0.999908601
Guadeloupe,2012,1.00016
Guadeloupe,2004,1.00045
Guadeloupe,1994,1.00183
Guatemala,2012,0.963086055
Guatemala,2002,0.907522364
Guatemala,1994,0.865401274
